recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1290,6,256,63,1,1609
1313,8,256,85,1,1654
1328,3,256,30,0,1614
1298,3,256,33,0,1587
1297,7,256,82,0,1635
1316,8,256,117,2,1689
1304,7,256,109,2,1669
1287,4,256,53,0,1596
1342,4,256,43,0,1641
1315,4,256,63,0,1634
1308,5,256,58,0,1622
1344,4,256,53,0,1653
1288,4,256,58,0,1602
1307,7,256,81,0,1644
1290,9,256,95,1,1641
1292,4,256,56,0,1604
1308,10,256,166,2,1730
1323,11,256,141,2,1720
1340,3,256,42,0,1638
1305,6,256,76,0,1637
1310,8,256,87,1,1653
1309,8,256,82,0,1647
1331,7,256,105,1,1692
1307,10,256,130,0,1693
1290,9,256,97,0,1643
1309,9,256,100,2,1665
1310,5,256,61,0,1627
1293,6,256,67,2,1616
1312,8,256,100,0,1668
1324,5,256,66,1,1646
1293,10,256,91,2,1640
1313,5,256,87,1,1656
1285,5,256,50,1,1591
1353,2,256,44,0,1653
1311,4,256,52,0,1619
1317,2,256,56,0,1629
1315,6,256,64,1,1635
1314,3,256,34,0,1604
1317,8,256,101,0,1674
1335,8,256,117,1,1708
1288,4,256,98,0,1642
1293,4,256,47,0,1596
1292,6,256,72,0,1620
1323,6,256,84,2,1663
1310,7,256,84,0,1650
1303,6,256,66,0,1625
1299,4,256,64,1,1619
1298,4,256,59,0,1613
1313,7,256,72,1,1641
1317,8,256,114,2,1687
1298,9,256,87,1,1641
1317,6,256,71,0,1644
1326,7,256,79,3,1661
1310,5,256,65,1,1631
1305,4,256,78,1,1639
1311,10,256,128,0,1695
1307,4,256,52,0,1615
1306,5,256,43,1,1605
1307,8,256,101,1,1664
1327,5,256,71,0,1654
1317,8,256,97,1,1670
1303,6,256,62,0,1621
1311,10,256,115,1,1682
1314,4,256,50,1,1620
1311,3,256,19,0,1586
1337,4,256,52,0,1645
1302,10,256,127,0,1685
1287,3,256,31,0,1574
1310,11,256,133,1,1699
1292,7,256,73,2,1621
1295,6,256,68,0,1619
1320,7,256,84,0,1660
1304,9,256,106,1,1666
1308,9,256,128,1,1692
1319,11,256,131,1,1706
1329,5,256,66,0,1651
1260,6,256,63,0,1579
1318,7,256,74,0,1648
1308,8,256,76,1,1640
1284,4,256,53,0,1593
1307,2,256,30,0,1593
1301,7,256,75,1,1632
1326,5,256,52,1,1634
1342,4,256,86,1,1684
1284,4,256,72,0,1612
1299,10,256,129,1,1684
1276,2,256,29,0,1561
1314,10,256,103,3,1673
1316,3,256,29,1,1601
1287,4,256,35,0,1578
1309,5,256,62,0,1627
1296,5,256,52,0,1604
1292,10,256,128,0,1676
1295,6,256,62,0,1613
1307,10,256,122,0,1685
1327,7,256,85,0,1668
1327,3,256,54,0,1637
1319,5,256,63,0,1638
1299,8,256,108,0,1663
1300,7,256,69,1,1625
1311,6,256,87,0,1654
1310,7,256,80,0,1646
1316,7,256,95,2,1667
1306,9,256,94,0,1656
1295,5,256,53,0,1604
1319,8,256,92,1,1667
1304,5,256,62,0,1622
1321,8,256,101,0,1678
1313,5,256,42,1,1611
1303,7,256,67,0,1626
1310,8,256,92,1,1658
1300,4,256,43,0,1599
1298,8,256,88,0,1642
1327,10,256,83,0,1666
1305,1,256,18,0,1579
1326,8,256,89,1,1671
1313,5,256,61,0,1630
1304,7,256,72,0,1632
1284,7,256,91,0,1631
1297,5,256,42,1,1595
1306,6,256,70,1,1632
1292,4,256,58,0,1606
1324,3,256,24,1,1604
1302,8,256,84,0,1642
1320,7,256,91,0,1667
1305,10,256,128,0,1689
1291,8,256,88,0,1635
1320,7,256,104,0,1680
1332,4,256,49,1,1637
1315,2,256,54,0,1625
1305,15,256,136,1,1697
1293,7,256,81,0,1630
1350,4,256,53,0,1659
1315,5,256,74,0,1645
1295,8,256,110,0,1661
1306,9,256,92,0,1654
1321,3,256,47,0,1624
1308,8,256,81,0,1645
1345,6,256,59,0,1660
1327,6,256,72,0,1655
1316,4,256,63,1,1635
1324,8,256,75,2,1655
1319,8,256,106,1,1681
1313,9,256,96,1,1665
1322,5,256,57,0,1635
1325,5,256,97,2,1678
1306,7,256,88,1,1650
1300,4,256,50,2,1606
1322,7,256,109,1,1687
1286,6,256,73,1,1615
1308,5,256,53,0,1617
1299,5,256,61,0,1616
1323,5,256,73,0,1652
1318,7,256,70,0,1644
1313,4,256,38,0,1607
1296,4,256,51,1,1603
1319,9,256,106,1,1681
1301,7,256,62,0,1619
1304,8,256,107,1,1667
1323,6,256,96,2,1675
1302,11,256,124,0,1682
1302,11,256,126,0,1684
1304,4,256,60,0,1620
1300,2,256,36,1,1592
1303,4,256,50,1,1609
1355,3,256,51,0,1662
1328,10,256,125,0,1709
1335,4,256,56,1,1647
1334,10,256,140,1,1730
1315,4,256,54,0,1625
1312,8,256,71,0,1639
1331,8,256,91,0,1678
1302,9,256,104,0,1662
1316,6,256,58,0,1630
1304,11,256,109,2,1669
1308,5,256,56,1,1620
1305,9,256,88,0,1649
1349,11,256,123,0,1728
1324,7,256,74,0,1654
1313,5,256,61,0,1630
1334,7,256,105,1,1695
1346,10,256,140,0,1742
1283,8,256,97,0,1636
1300,12,256,134,2,1690
1300,9,256,71,1,1627
1288,4,256,43,0,1587
1335,6,256,60,1,1651
1311,10,256,120,0,1687
1327,10,256,101,2,1684
1288,8,256,74,0,1618
1293,4,256,59,0,1608
1318,3,256,31,0,1605
1305,7,256,59,1,1620
1310,1,256,22,0,1588
1312,9,256,103,0,1671
1318,5,256,40,1,1614
1316,6,256,63,0,1635
1302,7,256,79,2,1637
1284,2,256,20,0,1560
1311,9,256,95,1,1662
1318,3,256,50,0,1624
1315,9,256,134,1,1705
1312,9,256,108,2,1676
1318,7,256,92,0,1666
1314,4,256,72,0,1642
1326,9,256,104,0,1686
1306,7,256,103,1,1665
1297,6,256,58,0,1611
1312,11,256,113,0,1681
1309,5,256,58,2,1623
1340,6,256,84,0,1680
1305,5,256,66,0,1627
1309,7,256,74,1,1639
1295,9,256,95,1,1646
1341,4,256,54,0,1651
1312,4,256,49,0,1617
1309,8,256,97,2,1662
1361,5,256,107,0,1724
1319,7,256,91,0,1666
1290,11,256,137,0,1683
1300,7,256,110,0,1666
1300,5,256,58,0,1614
1312,8,256,113,1,1681
1359,6,256,66,0,1681
1321,8,256,79,0,1656
1296,7,256,70,1,1622
1303,5,256,81,0,1640
1339,4,256,57,0,1652
1299,3,256,37,0,1592
1325,9,256,98,1,1679
